dev_id,step,chosen_node,dropped_out,developer,assigned_cost,assigned_study_time,step_online,assigned_construction_time,online,Model Step,Capacity Price,Service_Type,Bid Price,size
AG1-497,0,6,True,AG1-497,96000.0,2,,,False,1,329.17,NRIS,0,120.0
AG1-061,0,16,True,AG1-061,87440.0,2,,,False,1,329.17,NRIS,0,109.3
AF2-193,0,6,True,AF2-193,352000.0,2,,,False,1,329.17,NRIS,0,440.0
AF2-194,0,19,True,AF2-194,352000.0,2,,,False,1,329.17,NRIS,0,440.0
AF2-393,0,16,False,AF2-393,6000.0,2,,7.0,False,1,329.17,NRIS,0,60.0
AF2-394,0,9,False,AF2-394,4000.0,2,,7.0,False,1,329.17,NRIS,0,40.0
AF2-069,0,2,False,AF2-069,840.0,2,,1.94,False,1,329.17,NRIS,0,8.4
AF2-070,0,16,False,AF2-070,1814.9999999999998,2,,3.7249999999999996,False,1,329.17,NRIS,0,18.15
AG1-121,0,6,True,AG1-121,235760.0,2,,,False,1,329.17,ERIS,0,294.7
AG1-435,0,16,True,AG1-435,120000.0,2,,,False,1,329.17,NRIS,0,150.0
AG1-460,0,6,False,AG1-460,3000.0,2,,3.64,False,1,329.17,NRIS,0,30.0
AE2-261,0,19,True,AE2-261,239200.0,2,,,False,1,329.17,NRIS,0,299.0
AF1-252,0,6,True,AF1-252,49920.0,2,,,False,1,329.17,ERIS,0,62.4
AF1-253,0,6,False,AF1-253,4320.0,2,,4.96,False,1,329.17,NRIS,0,43.2
AF2-441,0,16,True,AF2-441,160000.0,2,,,False,1,329.17,ERIS,0,200.0
AG1-298,0,6,True,AG1-298,400000.0,2,,,False,1,329.17,ERIS,0,500.0
AG1-127,0,16,True,AG1-127,76080.0,2,,,False,1,329.17,NRIS,0,95.1
AG1-118,0,6,True,AG1-118,240000.0,2,,,False,1,329.17,NRIS,0,300.0
AG1-119,0,19,True,AG1-119,240000.0,2,,,False,1,329.17,ERIS,0,300.0
