model_step,num_total,dropped_out_count,pending_count,online_count,dropped_out_eris_count,pending_eris_count,online_eris_count,dropped_out_eris_mw,pending_eris_mw,total_online_mw,total_mw,total_pending_mw,total_dropped_out_mw,online_eris_mw,dropped_out_nris_count,pending_nris_count,online_nris_count,dropped_out_nris_mw,pending_nris_mw,online_nris_mw,capacity_price,system_marginal_energy_price,avg_construction_time,avg_construction_time_eris,avg_construction_time_nris,study_time_all,study_time_eris,study_time_nris,nu_all_avg,nu_eris_avg,nu_nris_avg,nu_dropped_avg,nu_dropped_eris_avg,nu_dropped_nris_avg,transmission_built_nodes,total_installed_capacity
1,311,200,111,0,31,20,0,5559.17,672.8,0.0,40783.17,5449.81,35333.36,0.0,169,91,0,29774.19,4777.01,0.0,329.19,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.4839969114471774,1.6116113873960156,1.4559497738760045,2,1.0,2.0,175.07799252825885,189.78241311310427,242.39748165259303,266.3429556390289,214.4088813176776,275.86932430152524,[],27000000.0
2,311,228,74,9,46,25,9,8991.1,706.9,346.9,46232.98,8503.66,37382.42,346.9,182,160,0,28391.32,7796.76,0.0,329.19,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.048625559329931,2.2284778306121593,2.010406951682458,2,1.0,2.0,175.58432221652907,294.52123690148744,330.5736261359141,449.80052886225855,398.55331981099147,462.7531201609306,[],27000346.9
3,311,244,17,50,47,27,10,6292.87,772.9,2745.91,49633.73,8451.4,38436.42,361.9,197,184,40,32143.55,7678.5,2384.01,329.19,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.089818779601894,2.2263719602458516,2.067263120299097,2,1.0,2.0,178.24789837584018,324.11337702673717,340.8646337396938,509.0443975350931,458.71832215211566,521.0511261797627,"[7, 8, 4]",27002745.91
4,311,228,-2,85,38,31,18,6698.45,812.15,4186.81,51980.48,10797.35,36996.32,618.8,190,228,67,30297.87,9985.2,3568.01,329.19,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.0860377748926213,2.0860047942192326,2.0860432530383703,2,1.0,2.0,178.85754233448205,249.44222310178296,295.57586808848424,454.073573989948,375.4536445555979,469.79755987681796,"[7, 8, 4]",27004186.81
5,311,237,-60,134,38,27,30,5240.75,593.15,6017.51,55767.33,11902.1,37847.72,994.8,199,257,104,32606.97,11308.95,5022.71,329.19,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.0465722015033956,1.9718448914925415,2.0583712504524776,2,1.0,2.0,179.2994742306684,270.28914713230716,313.22861872994713,532.2291782190723,450.5871095393243,547.8191209820394,"[7, 5, 8]",27006017.51
6,311,238,-134,207,45,17,48,4932.79,395.35,8879.01,58702.78,12247.65,37576.12,1342.8,193,267,159,32643.33,11852.3,7536.21,329.19,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.9286925216566442,1.9366063670710951,1.9274850100323735,2,1.0,2.0,178.52958886642028,273.07521696322874,319.17012244168507,588.010720688848,450.1968890296443,620.1434793658644,"[7, 5, 18]",27008879.01
7,311,255,-256,312,50,19,55,8242.4,348.55,13260.21,61909.83,9484.0,39165.62,1572.6,205,216,257,30923.22,9135.45,11687.61,329.19,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.8976437489927394,1.9813670580598548,1.8845453877433382,2,1.0,2.0,178.576107310838,293.2561767304454,316.36005313862455,600.6852989942522,503.85207236291944,624.3031591482359,"[7, 18, 13]",27013260.21
8,311,255,-349,405,34,15,63,4360.4,258.4,17894.01,63527.38,6561.05,39072.32,1724.75,221,183,342,34711.92,6302.65,16169.26,329.19,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.854166339632724,1.9507752454680183,1.8398130164800517,2,1.0,2.0,179.5228902131553,274.9211426206562,340.05952534186565,691.0716512941672,559.4323184414131,711.323856348437,"[13, 7, 1]",27017894.01
9,311,248,-421,484,49,19,67,8641.62,306.4,20603.21,65238.23,5927.95,38707.07,1793.15,199,163,417,30065.45,5621.55,18810.06,329.19,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.8361327028536856,1.934267839655886,1.821581630845083,2,1.0,2.0,179.67624639722897,280.21428607168747,299.68460663461013,611.3663592237282,507.58968182186965,636.9194104432814,"[4, 1, 10]",27020603.21
10,311,251,-487,547,37,15,76,5502.6,223.0,22755.46,67314.33,5591.55,38967.32,1949.55,214,164,471,33464.72,5368.55,20805.91,329.19,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.8286678596007842,1.9240830969197598,1.814994179922002,2,1.0,2.0,179.8799808129056,254.64213032820862,300.46589799259834,625.8839601894712,510.8819151976367,645.7674913329192,"[6, 2, 4]",27022755.46
